255,"RIVIERA PLAZA ABU SOMA (EX. LAMAR RESORT)",4,13,1,3.92,0,1,0,0,0,1,0
256,"DESSOLE HOLIDAY TABA RESORT",4,14,1,4.29,0,1,1,1,0,0,0
257,"HOR PALACE",3,5,1,3.56,1,0,0,0,1,1,0
258,HORIZON,4,6,1,2.44,1,0,1,1,1,0,0
259,"PHARAOH CLUB",3,5,1,3.23,0,1,0,0,0,0,0
260,"HYATT REGENCY",5,6,1,4.8,1,1,1,1,0,1,1
261,"MIRAMAR RESORT TABA HEIGHTS (EX. HYATT REGENCY TABA HEIGHTS)",5,14,1,4.22,0,1,1,0,0,1,1
262,"JAZ AQUAMARINE RESOR (EX. IBEROTEL AQUAMARINE RESORT)",5,5,1,4.68,1,0,1,0,0,1,0
263,"STEIGENBERGER CORAYA BEACH RESORT (EX. IBEROTEL CORAYA)",5,11,1,4.99,0,1,1,0,0,1,0
264,"JAZ DAHABEYA (EX. IBEROTEL DAHABEYA)",4,10,1,4.41,0,1,1,0,0,1,0
265,"JAZ LAMAYA RESORT (EX. IBEROTEL LAMAYA RESORT)",5,11,1,4.44,0,1,1,0,0,1,0
266,"LIDO SHARM (EX. IBEROTEL LIDO)",4,6,1,4.33,1,1,0,0,1,1,0
267,"IBEROTEL MAKADI BEACH",5,5,1,4.7,0,1,1,0,0,1,0
268,"JAZ MAKADI SARAYA RESORT (EX. IBEROTEL MAKADI SARAYA RESORT)",5,5,1,4.73,0,1,1,0,0,0,0
269,"JAZ SAMAYA RESORT (EX. IBEROTEL SAMAYA)",5,11,1,4.49,0,1,1,0,0,1,0
270,"IMPERIAL SHAMS ABU SOMA",5,5,1,4,1,1,1,1,0,1,0
271,"ROYAL ORCHID BEACH RESORT",4,16,3,3,0,0,0,1,1,0,0
272,"CONTINENTAL(EX. MOVENPICK RESORT HURGHADA)",5,5,1,4.57,0,0,1,1,0,1,0
273,"PALM ROYALE SOMA BAY",5,5,1,4.54,0,1,1,1,0,1,1
274,"STRAND TABA HEIGHT BEACH & GOLF RESORT (EX. INTERCONTINENTAL TABA HEIGHTS)",5,14,1,4.4,0,1,0,0,0,1,0
275,"THE PALACE PORT GHALIB (EX. INTERCONTINENTAL THE PALACE PORT GALIB",5,11,1,4.77,0,1,1,0,0,1,0
277,"JASMINE VILLAGE",3,5,1,3.97,1,0,1,0,0,1,0
278,"JAZ BELVEDERE",5,6,1,4.43,0,1,1,0,0,1,0
280,"JAZ MAKADI STAR & SPA",5,5,1,4.45,0,1,1,0,0,1,0
281,"JAZ MIRABEL BEACH SHARM",5,6,1,4.58,0,1,1,1,0,1,0
